Zeit;Kanal A
(ms);(mV)

-22,66444356;-5,77017700
-22,65944356;-7,07369500
-22,65444356;-7,81803600
-22,64944356;-7,63164300
-22,64444356;-8,00442800
-22,63944356;-8,19020700
-22,63444356;-7,25947300
-22,62944356;-6,51513300
-22,62444356;-5,77017700
-22,61944356;-3,72293300
-22,61444356;-2,23363700
-22,60944356;-1,67507400
-22,60444356;0,37217020
-22,59944356;0,93073320
-22,59444356;1,48868100
-22,58944356;1,86146600
-22,58444356;2,23363700
-22,57944356;1,11651100
-22,57444356;0,93073320
-22,56944356;0,00000000
-22,56444356;-0,93073320
-22,55944356;-1,30290300
-22,55444356;-2,23363700
-22,54944356;-2,97797700
-22,54444356;-2,23363700
-22,53944356;-2,04724400
-22,53444356;-1,67507400
-22,52944356;-0,93073320
-22,52444356;0,74434050
-22,51944356;1,48868100
-22,51444356;2,04724400
-22,50944356;3,35014700
-22,50444356;4,46727300
-22,49944356;3,90871000
-22,49444356;4,28149600
-22,48944356;4,28149600
-22,48444356;3,90871000
-22,47944356;3,53654000
-22,47444356;2,23363700
-22,46944356;2,04724400
-22,46444356;0,55794780
-22,45944356;-0,93073320
-22,45444356;-1,86146600
-22,44944356;-3,16437000
-22,44444356;-3,72293300
-22,43944356;-5,02583600
-22,43444356;-5,21222900
-22,42944356;-5,39800700
-22,42444356;-5,95657000
-22,41944356;-4,83944400
-22,41444356;-4,83944400
-22,40944356;-4,83944400
-22,40444356;-4,28149600
-22,39944356;-3,90871000
-22,39444356;-3,72293300
-22,38944356;-2,41941400
-22,38444356;-2,23363700
-22,37944356;-1,67507400
-22,37444356;-2,04724400
-22,36944356;-0,55794780
-22,36444356;-1,48868100
-22,35944356;-1,11651100
-22,35444356;-1,30290300
-22,34944356;-1,11651100
-22,34444356;-1,67507400
-22,33944356;-1,67507400
-22,33444356;-1,86146600
-22,32944356;-2,04724400
-22,32444356;-2,60580700
-22,31944356;-2,60580700
-22,31444356;-3,16437000
-22,30944356;-2,60580700
-22,30444356;-3,72293300
-22,29944356;-3,90871000
-22,29444356;-3,90871000
-22,28944356;-4,09510300
-22,28444356;-4,46727300
-22,27944357;-4,83944400
-22,27444357;-4,83944400
-22,26944357;-5,58439900
-22,26444357;-4,65366600
-22,25944357;-5,02583600
-22,25444357;-3,90871000
-22,24944357;-3,53654000
-22,24444357;-2,97797700
-22,23944357;-2,23363700
-22,23444357;-1,67507400
-22,22944357;0,18577760
-22,22444357;0,93073320
-22,21944357;1,11651100
-22,21444357;2,41941400
-22,20944357;3,72293300
-22,20444357;3,16437000
-22,19944357;3,16437000
-22,19444357;3,35014700
-22,18944357;2,41941400
-22,18444357;2,04724400
-22,17944357;1,11651100
-22,17444357;0,93073320
-22,16944357;-0,74434050
-22,16444357;-1,67507400
-22,15944357;-2,97797700
-22,15444357;-3,53654000
-22,14944357;-4,28149600
-22,14444357;-4,09510300
-22,13944357;-5,02583600
-22,13444357;-4,83944400
-22,12944357;-5,02583600
-22,12444357;-4,65366600
-22,11944357;-3,90871000
-22,11444357;-2,97797700
-22,10944357;-2,41941400
-22,10444357;-1,86146600
-22,09944357;-1,11651100
-22,09444357;-1,11651100
-22,08944357;-0,74434050
-22,08444357;-0,74434050
-22,07944357;-0,55794780
-22,07444357;-0,74434050
-22,06944357;-1,67507400
-22,06444357;-2,79220000
-22,05944357;-3,16437000
-22,05444357;-3,72293300
-22,04944357;-4,65366600
-22,04444357;-5,02583600
-22,03944357;-5,39800700
-22,03444357;-4,83944400
-22,02944357;-4,46727300
-22,02444357;-4,09510300
-22,01944357;-3,53654000
-22,01444357;-2,23363700
-22,00944357;-1,11651100
-22,00444357;0,00000000
-21,99944357;1,11651100
-21,99444357;2,41941400
-21,98944357;3,90871000
-21,98444357;4,28149600
-21,97944357;5,21222900
-21,97444357;5,77017700
-21,96944357;6,14296200
-21,96444357;6,51513300
-21,95944357;6,32874000
-21,95444357;5,77017700
-21,94944357;4,28149600
-21,94444357;4,09510300
-21,93944357;3,53654000
-21,93444357;3,35014700
-21,92944357;2,23363700
-21,92444357;1,67507400
-21,91944357;2,04724400
-21,91444357;1,67507400
-21,90944357;1,86146600
-21,90444357;2,60580700
-21,89944357;2,41941400
-21,89444357;2,97797700
-21,88944357;3,35014700
-21,88444358;3,90871000
-21,87944358;4,28149600
-21,87444358;4,09510300
-21,86944358;5,02583600
-21,86444358;4,65366600
-21,85944358;5,21222900
-21,85444358;5,21222900
-21,84944358;4,65366600
-21,84444358;4,65366600
-21,83944358;4,28149600
-21,83444358;3,53654000
-21,82944358;3,35014700
-21,82444358;3,35014700
-21,81944358;2,79220000
-21,81444358;2,97797700
-21,80944358;2,41941400
-21,80444358;2,41941400
-21,79944358;1,86146600
-21,79444358;1,86146600
-21,78944358;2,04724400
-21,78444358;1,30290300
-21,77944358;2,04724400
-21,77444358;1,48868100
-21,76944358;2,04724400
-21,76444358;1,86146600
-21,75944358;1,86146600
-21,75444358;1,11651100
-21,74944358;1,11651100
-21,74444358;1,48868100
-21,73944358;0,74434050
-21,73444358;1,48868100
-21,72944358;1,48868100
-21,72444358;1,30290300
-21,71944358;1,30290300
-21,71444358;1,86146600
-21,70944358;1,86146600
-21,70444358;1,48868100
-21,69944358;1,86146600
-21,69444358;2,04724400
-21,68944358;1,48868100
-21,68444358;1,30290300
-21,67944358;0,74434050
-21,67444358;0,55794780
-21,66944358;0,18577760
-21,66444358;0,18577760
-21,65944358;-0,18577760
-21,65444358;0,00000000
-21,64944358;-0,74434050
-21,64444358;-0,74434050
-21,63944358;-0,74434050
-21,63444358;-1,30290300
-21,62944358;-0,93073320
-21,62444358;-0,93073320
-21,61944358;-0,18577760
-21,61444358;-0,37217020
-21,60944358;-0,18577760
-21,60444358;-0,18577760
-21,59944358;0,74434050
-21,59444358;0,74434050
-21,58944358;0,93073320
-21,58444358;0,37217020
-21,57944358;1,30290300
-21,57444358;0,18577760
-21,56944358;0,00000000
-21,56444358;-0,37217020
-21,55944358;-1,30290300
-21,55444358;-1,86146600
-21,54944358;-2,97797700
-21,54444358;-4,46727300
-21,53944358;-5,02583600
-21,53444358;-5,39800700
-21,52944358;-7,44586600
-21,52444358;-7,25947300
-21,51944358;-7,63164300
-21,51444358;-7,63164300
-21,50944358;-6,88730300
-21,50444358;-6,51513300
-21,49944358;-5,02583600
-21,49444358;-4,09510300
-21,48944359;-2,60580700
-21,48444359;-1,86146600
-21,47944359;-0,18577760
-21,47444359;0,55794780
-21,46944359;0,93073320
-21,46444359;0,93073320
-21,45944359;1,30290300
-21,45444359;0,55794780
-21,44944359;0,55794780
-21,44444359;-0,74434050
-21,43944359;-0,74434050
-21,43444359;-2,04724400
-21,42944359;-2,41941400
-21,42444359;-2,60580700
-21,41944359;-2,60580700
-21,41444359;-1,86146600
-21,40944359;-1,30290300
-21,40444359;-0,74434050
-21,39944359;0,18577760
-21,39444359;1,86146600
-21,38944359;1,86146600
-21,38444359;3,16437000
-21,37944359;3,53654000
-21,37444359;3,90871000
-21,36944359;5,02583600
-21,36444359;4,65366600
-21,35944359;4,28149600
-21,35444359;3,90871000
-21,34944359;2,97797700
-21,34444359;1,48868100
-21,33944359;0,55794780
-21,33444359;-0,55794780
-21,32944359;-1,67507400
-21,32444359;-2,97797700
-21,31944359;-3,53654000
-21,31444359;-4,28149600
-21,30944359;-5,21222900
-21,30444359;-5,02583600
-21,29944359;-5,77017700
-21,29444359;-5,21222900
-21,28944359;-5,02583600
-21,28444359;-5,02583600
-21,27944359;-4,46727300
-21,27444359;-4,09510300
-21,26944359;-3,53654000
-21,26444359;-2,79220000
-21,25944359;-2,23363700
-21,25444359;-1,48868100
-21,24944359;-1,48868100
-21,24444359;-1,11651100
-21,23944359;-1,30290300
-21,23444359;-1,11651100
-21,22944359;-0,93073320
-21,22444359;-1,11651100
-21,21944359;-1,30290300
-21,21444359;-1,86146600
-21,20944359;-2,04724400
